SAPNo,ShortText,Size,BasicMaterial,Manufacturer,PartNo,DrawingNo,KeyNoun,POTextNo,UnitOfMeasure,PO Text Header,,,,
1090105,ABRASIVE ZAGRAM ABRASIF280F,NA,NA,ZAGRAM,ABRASIF280F,,ABRASIVE,12684,EA,,,, ,
1007873,ABRASIVE ROLL 3M 211K 051144-05044,"2""X50YD 240J-GRIT",ALUM-OXIDE,3M,051144-05044,,ABRASIVE,5969,EA,3M CORPORATION,,,,
224875,ABRASIVE ROLL 3M 481W 60-0000-1569-7,"4""X25YD 220GRIT",NA,3M,60-0000-1569-7,,ABRASIVE,5969,EA,3M CORPORATION,,,,
167737,ABRASIVE ROLL NORTON K227 09170-5,"1""X50YD 120GRIT",NA,NORTON-C,09170-5,,ABRASIVE,5695,EA,NORTON COMPANY,,,,
1081307,ABRASIVE ROLL NORTON K227-C 09295,"2""X50YD 320GRIT",NA,NORTON-C,9295,,ABRASIVE,5695,EA,NORTON COMPANY,,,,
110531,ABRASIVE ROLL NORTON K224 662611-09151,"1""X50YD 240GRIT",ALUM-OXIDE,NORTON-C,662611-09151,,ABRASIVE,5695,RL,NORTON COMPANY,,,,
335125,ABRASIVE ROLL NORTON K227 662611-09325,"2""X50YD 120GRIT",NA,NORTON-C,662611-09325,,ABRASIVE,5695,EA,NORTON COMPANY,,,,
382217,ABRASIVE ROLL NORTON 662611-26287,"1-1/2""X50YD 100GR",ALUM-OXIDE,NORTON-C,662611-26287,,ABRASIVE,5695,EA,NORTON COMPANY,,,,
270741,ABRASIVE ROLL NORTON K225 662611-26299,"2""X50YD 80J GRIT",CLOTH,NORTON-C,662611-26299,,ABRASIVE,5695,EA,NORTON COMPANY,,, ,
1015656,ABRASIVE ROLL NORTON A46M5VBE,"8""X1/8""X150'",ALUM-OXIDE,NORTON-C,A46M5VBE,,ABRASIVE,12684,EA,,,,,
70769,ABRASIVE ROLL SCOTCH-BRITE 3M 00266,"4""X30'XVFINE",NA,3M,266,,ABRASIVE,5969,CA,3M CORPORATION,,,,
160621,ABRASIVE SANDING DISC ROLL 3M 01432,"6""X500GRIT",NA,3M,1432,,ABRASIVE,5969,RL,3M CORPORATION,,,,
